"ID_MESA","LAT","LON","cluster"
"100320112710000101","-20.32877","-64.45695",3
"100320112710000102","-20.32877","-64.45695",3
"100320112720000101","-20.24856","-64.53408",3
"100320112720000102","-20.24856","-64.53408",3
"100320112720000103","-20.24856","-64.53408",3
"100320112730000101","-20.06003","-64.56451",3
"100320112730000102","-20.06003","-64.56451",3
"100320112750000101","-19.92718","-64.48597",1
"100320112750000102","-19.92718","-64.48597",1
"100320112750000103","-19.92718","-64.48597",1
"100320112750000104","-19.92718","-64.48597",1
"100320112750000105","-19.92718","-64.48597",1
"100320112760000101","-19.78101","-64.46204",3
"100320112760000102","-19.78101","-64.46204",3
"100320112760000103","-19.78101","-64.46204",3
"100320112760000104","-19.78101","-64.46204",3
"100320112780000101","-19.61855","-64.44648",1
"100320112780000102","-19.61855","-64.44648",3
"100320112780000103","-19.61855","-64.44648",1
"100320112780000104","-19.61855","-64.44648",1
"100320112790000101","-19.97382","-64.56983",3
"100320112790000102","-19.97382","-64.56983",3
"100320112790000103","-19.97382","-64.56983",1
"100320112800000101","-19.87214","-64.57745",3
"100320112800000102","-19.87214","-64.57745",3
"100320112800000103","-19.87214","-64.57745",3
"100320112800000104","-19.87214","-64.57745",3
"100320112810000101","-19.674","-64.68082",3
"100320112810000102","-19.674","-64.68082",3
"100320112810000103","-19.674","-64.68082",3
"100320112810000104","-19.674","-64.68082",3
"100320112810000105","-19.674","-64.68082",3
"100320112830000101","-19.11868","-64.70162",3
"100320112830000102","-19.11868","-64.70162",3
"100320112830000103","-19.11868","-64.70162",1
"100320112830000104","-19.11868","-64.70162",3
"100320112830000105","-19.11868","-64.70162",3
"100320112830000106","-19.11868","-64.70162",3
"100320112830000107","-19.11868","-64.70162",3
"100320112830000201","-19.11358","-64.70309",3
"100320112830000202","-19.11358","-64.70309",3
"100320112830000203","-19.11358","-64.70309",3
"100320112830000204","-19.11358","-64.70309",3
"100320112830000205","-19.11358","-64.70309",3
"100320112830000206","-19.11358","-64.70309",3
"100320112830000207","-19.11358","-64.70309",3
"100320112830000208","-19.11358","-64.70309",3
"100320112840000101","-18.98042","-64.70795",3
"100320112870000101","-18.92988","-64.93723",3
"100320112870000102","-18.92988","-64.93723",3
"100320112870000103","-18.92988","-64.93723",3
"100320112870000104","-18.92988","-64.93723",3
"100320112870000105","-18.92988","-64.93723",3
"100320112870000106","-18.92988","-64.93723",3
"100320112870000107","-18.92988","-64.93723",1
"100320112880000101","-18.77106","-64.94286",3
"100320112880000102","-18.77106","-64.94286",3
"100320112890000101","-18.74306","-64.87681",3
"100320112890000102","-18.74306","-64.87681",3
"100320112890000103","-18.74306","-64.87681",3
"100320112890000104","-18.74306","-64.87681",3
"100320112920000101","-18.763184","-64.619633",1
"100320112920000102","-18.763184","-64.619633",3
"100320112930000101","-18.83001","-64.61874",3
"100320112930000102","-18.83001","-64.61874",3
"100320112930000103","-18.83001","-64.61874",3
"100320112930000104","-18.83001","-64.61874",3
"100320112930000105","-18.83001","-64.61874",3
"100320112930000106","-18.83001","-64.61874",3
"100320112930000107","-18.83001","-64.61874",3
"100320112930000108","-18.83001","-64.61874",3
"100320112930000109","-18.83001","-64.61874",3
"100320112930000110","-18.83001","-64.61874",3
"100320112930000111","-18.83001","-64.61874",3
"100320112940000101","-18.87217","-64.51095",3
"100320112950000101","-18.916385","-64.62121",3
"100320112980000101","-19.36361","-64.79297",3
"100320112980000102","-19.36361","-64.79297",3
"100320112980000103","-19.36361","-64.79297",1
