RECI,idloc,id_rec,dep,"nomdep",PROV,"nomprov",sec,"nombremunicipio","AsientoElectoral",dist,"nomdist",zona,"nomzona",CIRCUNDIST,"nombrerecinto",Habilitados,Inhabilitados,Depurados,"NombreReci","NombreMuni","AsientoEle",latitud,longitud,density,CANTIDAD DE MESAS,x,y
2,2181,1003204218100002,4,"Oruro",9,"Sabaya",3,"Chipaya","Chipaya",0,"SIN DISTRITO",0,"SIN ZONA",3,"U.E. Santa Ana",714,3,53,"U.E. Santa Ana","Chipaya","Chipaya",-19.041395,-68.0896,4.870404370503695,4,998.787,927.1058586602388
25037,820,1003202082025037,2,"La Paz",1,"Murillo",5,"El Alto","El Alto",5,"DISTRITO 5",501,"VILLA BALLIVIAN",10,"Col. Tec. Humanistico Jose Ballivian",3998,15,227,"Col. Tec. Humanistico Jose Ballivian","El Alto","El Alto",-16.48976,-68.1784,4852.129014105817,18,978.318,2487.2379775774366
25468,2265,1003207226525468,7,"Santa Cruz",2,"Warnes",1,"Warnes","Warnes",0,"SIN DISTRITO",1,"WARNES",57,"U.E. Paititi",938,3,4,"U.E. Paititi","Warnes","Warnes",-17.559798,-63.175175,238.15382852828657,4,2536.1,2566.4369817473585
27,1494,1003205149400027,5,"Potosí",1,"Tomás Frías",1,"Potosí","Potosí",6,"DISTRITO 6",13,"ALONSO DE IBAÑEZ",33,"Coleg. Don Bosco",1115,7,64,"Coleg. Don Bosco","Potosí","Potosí",-19.58537,-65.75298,893.7196602303306,5,1695.3,770.3855467743028
2102,820,1003202082002102,2,"La Paz",1,"Murillo",5,"El Alto","El Alto",21,"DISTRITO 21",2101,"COSMOS 79",13,"Unidad Educativa 6 de Junio",6321,27,224,"Unidad Educativa 6 de Junio","El Alto","El Alto",-16.53518,-68.22369,3267.659373421017,28,595.89,1848.6935556553262
2011,2234,1003207223402011,7,"Santa Cruz",1,"Andrés Ibáñez",1,"Santa Cruz de La Sierra","Santa Cruz de la Sierra",2,"DISTRITO 2",19,"UV-19",45,"Col. Venancio Aquino Villegas",1542,9,92,"Col. Venancio Aquino Villegas","Santa Cruz de La Sierra","Santa Cruz de la Sierra",-17.77472,-63.15873,3634.847093435262,7,2661.03,1956.2817279942624
2101,820,1003202082002101,2,"La Paz",1,"Murillo",5,"El Alto","El Alto",21,"DISTRITO 21",2101,"COSMOS 79",13,"Colegio Luis Espinal Camps",10212,46,507,"Colegio Luis Espinal Camps","El Alto","El Alto",-16.52322,-68.22268,3420.743066062719,45,599.866,1952.7323265565135
191,2664,1003205266400191,5,"Potosí",6,"Nor Chichas",1,"Cotagaita","Cotagaita (Cotagaitilla)",0,"SIN DISTRITO",0,"SIN ZONA",36,"U.E. Cotagaitilla",306,0,36,"U.E. Cotagaitilla","Cotagaita","Cotagaita (Cotagaitilla)",-20.80217,-65.760465,6.167302304465748,2,1671.83,634.7057567194757
1,2577,1003208257700001,8,"Beni",3,"General José Ballivián",3,"Santa Rosa","Puerto Yata",0,"SIN DISTRITO",0,"SIN ZONA",60,"Esc. Puerto Yata",202,1,15,"Esc. Puerto Yata","Santa Rosa","Puerto Yata",-13.45108,-66.63308,2.268111960136822,1,1694.78,3060.210985280016
19,1949,1003206194900019,6,"Tarija",3,"Gran Chaco",1,"Yacuiba","Yacuiba",0,"SIN DISTRITO",0,"SIN ZONA",43,"U.E. Yacuiba",5052,30,204,"U.E. Yacuiba","Yacuiba","Yacuiba",-21.99672,-63.67945,302.79693503259875,22,2403.92,502.7772881195573
2788,389,1003202038902788,2,"La Paz",9,"Loayza",3,"Yaco","Caxata",0,"SIN DISTRITO",0,"SIN ZONA",18,"Unidad Educativa German Busch",138,0,35,"Unidad Educativa German Busch","Yaco","Caxata",-17.1474,-67.34483,7.267507358481509,1,1369.97,1673.1231613974996
6319,2302,1003207230206319,7,"Santa Cruz",3,"Velasco",3,"San Rafael","Villa Fátima",0,"SIN DISTRITO",1,"VILLA FATIMA",54,"Esc. Villa Fatima",82,0,4,"Esc. Villa Fatima","San Rafael","Villa Fátima",-16.964896,-60.603542,0.5755546410299954,1,3230.37,2101.41561200001
9023,944,1003203094409023,3,"Cochabamba",9,"Quillacollo",2,"Sipesipe","Viloma",0,"SIN DISTRITO",0,"SIN ZONA",26,"Unidad Educativa Viloma",1578,5,146,"Unidad Educativa Viloma","Sipesipe","Viloma",-17.4124,-66.3753,352.3268338074686,8,1377.33,1585.3156440019798
2,2100,1003204210000002,4,"Oruro",3,"Carangas",1,"Corque","Janko kala",0,"SIN DISTRITO",0,"SIN ZONA",32,"Nucleo Jancocala",131,0,18,"Nucleo Jancocala","Corque","Janko kala",-18.40875,-67.63593,5.108519960536909,1,1042.29,987.3475583750713
403,1806,1003205180600403,5,"Potosí",12,"Antonio Quijarro",3,"Porco","Agua de Castilla",0,"SIN DISTRITO",0,"SIN ZONA",36,"Esc. Agua Castilla",1295,4,62,"Esc. Agua Castilla","Porco","Agua de Castilla",-19.768701,-65.992296,26.059264375662497,6,1516.14,741.9227202683978
25439,2234,1003207223425439,7,"Santa Cruz",1,"Andrés Ibáñez",1,"Santa Cruz de La Sierra","Santa Cruz de la Sierra",7,"DISTRITO 7",134,"UV-134",50,"Modulo Educativo Republica De Colombia",1377,2,3,"Modulo Educativo Republica De Colombia","Santa Cruz de La Sierra","Santa Cruz de la Sierra",-17.860021,-63.20602,2285.0711713204164,6,2358.78,1044.2179463237849
25384,4053,1003207405325384,7,"Santa Cruz",10,"Obispo Santistéban",2,"General Saavedra","San Lorenzo",0,"SIN DISTRITO",0,"SIN ZONA",52,"U.E. 10 de Agosto",55,0,0,"U.E. 10 de Agosto","General Saavedra","San Lorenzo",-17.095372,-63.174745,54.630717447103066,1,2666.79,2625.027877210775
1,3982,1003207398200001,7,"Santa Cruz",3,"Velasco",1,"San Ignacio","Santa Anita de la Frontera",1,"SIN DISTRITO",1,"Santa Anita de la Frontera",5,"U.E. Santa Anita de La Frontera",105,0,4,"U.E. Santa Anita de La Frontera","San Ignacio","Santa Anita de la Frontera",-16.164161,-60.468907,3.5404135872632967,1,3161.73,2368.4695929872
1,3108,1003208310800001,8,"Beni",5,"Moxos",1,"San Ignacio","San Antonio de Imose",0,"SIN DISTRITO",0,"SIN ZONA",6,"Esc. San Antonio De Imose",167,2,3,"Esc. San Antonio De Imose","San Ignacio","San Antonio de Imose",-15.95693,-65.35487,1.0686416348004304,1,2113.42,2705.253289820028
2496,269,1003202026902496,2,"La Paz",6,"Larecaja",8,"Teoponte","Litoral (Tajlihui)",0,"SIN DISTRITO",0,"SIN ZONA",16,"Col. Nucleo Tajlihui",209,3,10,"Col. Nucleo Tajlihui","Teoponte","Litoral (Tajlihui)",-15.67721,-67.70219,9.20412337783084,1,1501.82,2934.199746969999
1,3697,1003209369700001,9,"Pando",4,"Abuná",1,"Santa Rosa","Villa El Carmen",1,"SIN DISTRITO",1,"CENTRAL",63,"U.E. Augusto Gutierrez Banzer",132,2,3,"U.E. Augusto Gutierrez Banzer","Santa Rosa","Villa El Carmen",-10.832922,-67.357606,2.3545635870097215,1,1457.63,3271.8403455267226
10033,2234,1003207223410033,7,"Santa Cruz",1,"Andrés Ibáñez",1,"Santa Cruz de La Sierra","Santa Cruz de la Sierra",7,"DISTRITO 7",255,"UV-255",50,"Colegio Plan 4000",7568,69,191,"Colegio Plan 4000","Santa Cruz de La Sierra","Santa Cruz de la Sierra",-17.884708,-63.175941,1782.8695925092063,33,2566.59,899.2261531870706
164,821,1003203082100164,3,"Cochabamba",1,"Cercado",1,"Cochabamba","Cochabamba",17,"DISTIRTO 17 - LA CHIMBA",79,"ZONA 79",22,"Unidad Educativa Santa Maria Micaela",5441,18,330,"Unidad Educativa Santa Maria Micaela","Cochabamba","Cochabamba",-17.4072,-66.1766,2708.3393021563415,25,1688.6,1629.5362399756468
1803,729,1003202072901803,2,"La Paz",1,"Murillo",1,"Nuestra Señora de La Paz","Nuestra Señora de La Paz",18,"DISTRITO 18",1803,"LLOJETA ALTO",8,"Esc. Jose Santos",4533,22,218,"Esc. Jose Santos","Nuestra Señora de La Paz","Nuestra Señora de La Paz",-16.53238,-68.14185,4653.059653677102,20,1130.12,1718.9754003965375
1,1246,1003201124600001,1,"Chuquisaca",1,"Oropeza",3,"Poroma","Huañoma",4,"HUAÑOMA - HUAÑOMA",314,"HUAÑOMA - HUAÑOMA",3,"Unidad Educativa Huañoma",500,3,43,"Unidad Educativa Huañoma","Poroma","Huañoma",-18.45855,-65.59436,5.868355333955434,3,1857.84,1121.7673543989827
184,821,1003203082100184,3,"Cochabamba",1,"Cercado",1,"Cochabamba","Cochabamba",26,"DISTRITO 26 - SANTA VERA CRUZ",88,"ZONA 88",21,"Centro Integrado El Salvador S-Vera Cruz",2719,5,197,"Centro Integrado El Salvador S-Vera Cruz","Cochabamba","Cochabamba",-17.4604,-66.1243,1731.5480304642788,13,1827.99,1290.1691879921193
