latr,lonr,index,"País","nomdep","nomprov","nomdist","AsientoElectoral","nombrerecinto","DIRECCIÓN RECINTO ELECTORAL",CANTIDAD DE MESAS,Habilitados,latitud,longitud,dif,Inscritos,"Recinto",num_rec,"nombremunicipio",id_rec,density,x,y
-33.25,-66.25,37,"Argentina","San Luis","Juan Martín de Pueyrredón","San Luis","San Luis","Escuela Normal de Ninas Paula Dominguez de Bazan","Junín 934, D5702JOD San Luis, Argentina",2,384,-33.301379,-66.3368986,0,384,"Escuela Normal de Ninas Paula Dominguez de Bazan",2,"San Luis",1101191438226094,0.6144,184.21,114.0748197013277
-33,-68.75,135,"Argentina","Mendoza","Maipú","Maipú","Rodeo del Medio","Escuela “John Fitzgerald Kennedy”","Ruta Provinsial 50 S/N y Ruben Dario Rodeo del Medio-Maipu, Mendoza, Argentina",15,3401,-32.9900693,-68.6882897,0,3401,"Escuela “John Fitzgerald Kennedy”",15,"Maipú",1101111414325148,11.656,150.268,143.93197283560474
-33,-68.75,145,"Argentina","Mendoza","Capital","Capital","Mendoza","Escuela “Patricias Mendocinas”","Calle Gutiérrez 338 Mendoza Capital",17,3884,-32.8878291,-68.8432079,-234,4118,"Escuela “Patricias Mendocinas”",18,"Capital",1101111361225065,11.656,141.705,152.96761948985315
-33,-64.25,33,"Argentina","Cordoba","Río Cuarto","Río Cuarto","Río Cuarto","Escuela Leopoldo Lugones","Fray Quirico Porreca 1310, X5804 Río Cuarto, Córdoba, Argentina",2,296,-33.1106051,-64.2998686,0,296,"Escuela Leopoldo Lugones",2,"Río Cuarto",1101121437326085,0.4736,184.952,96.92037809046005
-32.5,-63.25,41,"Argentina","Cordoba","General San Martín","Villa María","Villa María","IPEM Nº 147 Manuel Anselmo Ocampo","Ciudad de Villa Maria, Calle Catamarca 650, entre Calles Estados Unidos y Jose Rucci",2,414,-32.4120743,-63.2495373,0,414,"IPEM Nº 147 Manuel Anselmo Ocampo",2,"Villa María",1101121414725193,0.6624,223.001,166.33278992116928
-32,-65,18,"Argentina","Cordoba","San Javier","Villa Dolores","Villa Dolores","Sede de los Ladrilleros de la Colectividad Boliviana La Valle de Traslasierra","Calle Luis de Tejada entre Avenida Traslasierra",1,152,-31.9523689,-65.1048942,0,152,"C.I.C. Dispensario",1,"Villa Dolores",1101121437426086,0.2432,208.593,179.87777732971523
-31.75,-68.5,55,"Argentina","San Juan","Pocito","Pocito","La Rinconada - Pocito","Escuela Dr. Antonio Aberastain School","Fray J Sta M de Oro 233, Pocito Aberastain, San Juan, Argentina",3,605,-31.6576369,-68.5801876,0,605,"Escuela Dr. Antonio Aberastain School",3,"Pocito",1101190438126093,0.968,165.638,210.56042106741285
-31.75,-60.75,72,"Argentina","Santa Fe","Santa Fe","Rosario","Rosario","Escuela República de Bolivia","Calle La Paz 3035, Rosario, Santa Fe, Argentina",5,1185,-31.627051,-60.705411,0,1185,"Escuela República de Bolivia",5,"Rosario",1101120376125086,1.896,345.043,270.2426603353103
-31.5,-64.25,80,"Argentina","Cordoba","Capital","Cordoba","Cordoba","CPC Villa El Libertador","Av. Armada Argentina 1650, Villa Libertador",7,1499,-31.467142,-64.2250657,-66,1565,"CPC Villa El Libertador",8,"Cordoba",1101121376225154,5.9152,240.315,210.85295156370168
-31.5,-64.25,97,"Argentina","Cordoba","Capital","Cordoba","Cordoba","IPEM Nº 86 Gabriela Mistral","Av. Humberto Primo 147, Centro, X5000 FAC",10,2198,-31.4096162,-64.1835341,0,2198,"IPEM Nº 86 Gabriela Mistral",10,"Cordoba",1101121376225087,5.9152,246.524,216.78850230996898
-29.5,-67.5,47,"Argentina","La Rioja","Chilecito","Chilecito","Vichigasta","Delegacion Municipal de Vichigasta","Calle Angel Nardillo, Barrio La Plaza",3,496,-29.5011754,-67.5001461,0,496,"Delegacion Municipal de Vichigasta",3,"Chilecito",1101188437826090,0.7936,198.14,226.05835198559774
-29,-59,44,"Argentina","Corrientes","Lavalle","Santa Lucía","Santa Lucía","Centro Integrador Comunitario de la Municipalidad de Santa Lucia (CIC)","Sta Lucía 275, Goya, Corrientes, Argentina",2,468,-28.9900786,-59.101503,0,468,"Centro Integrador Comunitario de la Municipalidad de Santa Lucia (CIC)",2,"Santa Lucía",1101187437526087,0.7488,448.649,314.81376059651234
-27.25,-70.25,73,"Chile","Atacama","Copiapó","Copiapó","Copiapó","Escuela Pedro León Gallo","Calle Miraflores 860, Copiapó, Chile",6,1257,-27.3607135,-70.3286919,0,1257,"Salon Alicanto - Dependencias Municipales",6,"Copiapó",1104494438926101,2.0112,107.769,199.03756905098106
-27,-65.25,42,"Argentina","Tucumán","Lules","Lules","Lules","Casa del Sr. Tomas Serrano","pasaje Humberto Delgado 373,",2,433,-26.9255515,-65.337851,0,433,"Casa del Sr. Tomas Serrano",2,"Lules",1101193438526097,0.6928,252.501,248.2294684323233
-25.25,-57.75,46,"Paraguay","Dist. Capital","Distrito Capital","Asunción","Asunción","Embajada","Calle Israel 309, esq Rio de Janeiro, Barrio las Mercedez",2,485,-25.2842228,-57.6335394,0,485,"Embajada",2,"Asunción",1118143378625111,0.776,474.775,325.9076889564322
-24.75,-65.5,107,"Argentina","Salta","Capital","Salta","Salta","Colegio Nacional Salta N° 5080","Gral. Martin Güemes 47, Salta, Argentina",11,2590,-24.7870885,-65.4031177,0,2590,"Colegio Nacional Salta N° 5080",11,"Salta",1101122376325088,4.144,264.976,267.41980302699614
-24.5,-65,60,"Argentina","Jujuy","El Carmen","Perico","Perico","Centro Integrador Comunitario (CIC)","Calle 23 de Agosto esq Humahuaca y Yavi, Barrio San Calletano, Jujuy, Argentina",2,400,-24.3821629,-65.1200729,-400,800,"Centro Integrador Comunitario (CIC) - 26088 - Perico",4,"Perico",1101112437626088,0.64,325.389,300.2845469908782
-24.25,-65.25,52,"Argentina","Jujuy","San Pedro","San Pedro de Jujuy","San Pedro","Centro Integrador Comunitario (CIC)","Av. 25 de Mayo, Barrio Libertad, San Pedro de Jujuy, Argentina",2,280,-24.2627545,-65.2271259,-280,560,"Centro Integrador Comunitario (CIC - 26089 - Jujuy",4,"San Pedro de Jujuy",1101112437726089,12.9792,317.588,304.30196977801694
-24.25,-65.25,159,"Argentina","Jujuy","Dr. Manuel Belgrano","San Salvador de Jujuy","San Salvador de Jujuy","Escuela Normal Superior Juan Ignacio Gorriti","Calle Gral. Lavalle 101-199, Y4600EAC San Salvador de Jujuy, Jujuy, Argentina",33,7832,-24.1871944,-65.3033925,-239,8071,"Escuela Normal Superior Juan Ignacio Gorriti",34,"San Salvador de Jujuy",1101112361325066,12.9792,312.862,307.0605941716373
-23.75,-70.5,154,"Chile","Antofagasta","Antofagasta","Antofagasta","Antofagasta","Liceo Tecnico Humanistico A-14, Antofagasta","21 de Mayo 400, Antofagasta, Región de Antofagasta, Chile",30,6929,-23.6506867,-70.4019402,0,6929,"Liceo Tecnico Humanistico A-14, Antofagasta",30,"Antofagasta",1104438378125106,11.0864,121.552,247.3514392931696
-23.5,-46.75,65,"Brasil","Sao Paulo","Sao Paulo","Carapicuíba","Carapicuíba","Esc. Mun. Educ. Fundamental Professora Nai Molina do Amaral","R. Serra Agulhas Negras, 14 - Jardim Planalto, Carapicuíba - SP, 06362- 170, Brasil",4,964,-23.555835,-46.8417485,0,964,"Esc. Mun. Educ. Fundamental Professora Nai Molina do Amaral",4,"Carapicuíba",1103418438626098,17.2912,643.511,250.68718873985677
-23.5,-46.75,111,"Brasil","Sao Paulo","Sao Paulo","Sao Paulo","Sao Paulo","Esc. Mun. Edu. Fundamental Vereador Antonio Sampaio","Esc. Mun. Edu.Fundamental Vereador Antonio Sampaio",12,2628,-23.5142859,-46.6265313,0,2628,"Esc. Mun. Edu.Fundamental Vereador Antonio Sampaio",12,"Sao Paulo",1103418361925079,17.2912,688.287,236.51041425924367
-23.5,-46.75,139,"Brasil","Sao Paulo","Sao Paulo","Sao Paulo","Sao Paulo","Escuela Estadual Marechal Deodoro","R. dos Italianos, 405 - Bom Retiro, São Paulo - SP, Brasil",13,2918,-23.5262688,-46.6430139,-711,3629,"Escuela Estadual Marechal Deodoro",16,"Sao Paulo",1103418361925201,17.2912,686.174,236.0917872208242
