ID_RECI,LAT,LON,HAB,INHAB,PAIS,N_MESAS,REC,MUN,BOL,CIU,PROV,DEP,URB,DEN_C,DEN
1003207251817000,-15.897535000000001,-63.189147999999996,4448,117,Bolivia,21,Esc. Ascencion Central,Ascención de Guarayos,True,,Guarayos,Santa Cruz,ruralconect,15.8379684961,145.21835932683226
1003207251817001,-15.903269,-63.186997,5016,231,Bolivia,23,Esc. Esteban Gebard,Ascención de Guarayos,True,,Guarayos,Santa Cruz,ruralconect,15.8379684961,145.7612502178731
1003207251817002,-15.898185,-63.187917000000006,1679,4,Bolivia,8,Kinder Mi Dulce Hogar,Ascención de Guarayos,True,,Guarayos,Santa Cruz,ruralconect,15.8379684961,148.57694946065783
1003207251817003,-15.897485000000001,-63.189238,1051,2,Bolivia,5,U. E. José Barrero Valverde,Ascención de Guarayos,True,,Guarayos,Santa Cruz,ruralconect,15.8379684961,144.97394547273646
1003207251825537,-15.894092,-63.179643000000006,748,0,Bolivia,4,U.E. 27 de Mayo,Ascención de Guarayos,True,,Guarayos,Santa Cruz,ruralconect,15.8379684961,181.42435389901087
1003207251825538,-15.887476000000001,-63.185205,488,1,Bolivia,3,U.E. San José Obrero,Ascención de Guarayos,True,,Guarayos,Santa Cruz,ruralconect,15.8379684961,170.3740406301539
1003207251907002,-15.901607,-63.303127,662,9,Bolivia,3,Esc. San Pablo,Ascención de Guarayos,True,,Guarayos,Santa Cruz,ruralconect,10.9718759348,6.290531610510313
1003207252007003,-15.728429,-63.45625,494,5,Bolivia,3,Esc. Santa Maria,Ascención de Guarayos,True,,Guarayos,Santa Cruz,ruralconect,1.59404661863,10.786239924590221
1003207252107004,-15.623256,-63.082425,2158,76,Bolivia,10,Esc. Maria De Los Angeles,Urubicha,True,,Guarayos,Santa Cruz,ruralconect,0.99332396987100002,45.14718176954575
1003207252207006,-15.600331,-63.225319999999996,1124,20,Bolivia,6,Esc. Nucleo Escolar Yaguaru,Urubicha,True,,Guarayos,Santa Cruz,ruralconect,5.8199467404999998,16.01962326797704
1003207252307005,-15.50296,-63.01738,105,5,Bolivia,1,Esc. Secc. Mon. Salvatierra,Urubicha,True,,Guarayos,Santa Cruz,ruralaislado,3.6812464740099998E-2,1.3973465447957132
1003207252407007,-16.32987,-62.90906999999999,2576,60,Bolivia,12,Esc. Alfredo Smith,El Puente,True,,Guarayos,Santa Cruz,ruralconect,7.4455748695099997,42.29825205154589
1003207252507008,-16.174823999999997,-63.021947999999995,1470,37,Bolivia,7,Esc. San Jose De Yotau,El Puente,True,,Guarayos,Santa Cruz,ruralconect,1.5334290508599999,34.35432872959378
1003207269718023,-17.184564,-64.35185,354,9,Bolivia,2,Esc. U.E. German Busch (P. Grether),Yapacaní,True,,Ichilo,Santa Cruz,desconocido,desconocido,6.301865782937277
1003207269805509,-18.82769,-58.62548,2556,80,Bolivia,12,Esc. Daniel Zambrana,El Carmen Rivero Tórrez,True,,Germán Busch,Santa Cruz,ruralconect,3.2605683224400002,59.81201462186999
1003207276105510,-18.97605,-58.23871,610,11,Bolivia,3,Esc. German Busch Yacuses,Puerto Suarez,True,,Germán Busch,Santa Cruz,ruralconect,0.45237830536399998,11.307841424563225
