"LAT","LON","ID_RECI","HAB","INHAB","PAIS","N_MESAS","REC","MUN","BOL","CIU","PROV","DEP","URB","DEN_C"
-14.07916,-66.79248,"1003208257300001",2600,146,"Bolivia",12,"U.E. Gerardo Reyes","Santa Rosa",TRUE,NA,"General José Ballivián","Beni","ruralaislado","4.6470598032900003"
-14.073302,-66.794622,"1003208257325859",1334,2,"Bolivia",6,"U.E. Umbelina Claure de Cuellar","Santa Rosa",TRUE,NA,"General José Ballivián","Beni","ruralaislado","4.6470598032900003"
-12.96253,-66.6287,"1003208257400001",117,6,"Bolivia",1,"Esc. Central Palma Flor","Santa Rosa",TRUE,NA,"General José Ballivián","Beni","ruralconect","1.0352375167800001"
-13.86169,-66.76116,"1003208257500001",377,10,"Bolivia",2,"Esc. El Triunfo","Santa Rosa",TRUE,NA,"General José Ballivián","Beni","ruralconect","5.5664532487100002"
-13.50823,-66.84259,"1003208257600001",105,1,"Bolivia",1,"Esc. El Candado","Santa Rosa",TRUE,NA,"General José Ballivián","Beni","ruralaislado","0.48712985457199998"
-13.45108,-66.63308,"1003208257700001",198,14,"Bolivia",1,"Esc. Puerto Yata","Santa Rosa",TRUE,NA,"General José Ballivián","Beni","ruralconect","1.4225524592200001"
-13.7505,-65.4307,"1003208258100001",2734,121,"Bolivia",13,"U.E. Andrés Alberdi Salegui","Santa Ana",TRUE,NA,"Yacuma","Beni","ruralconect","71.226687679700007"
-13.74378,-65.42525,"1003208258100002",1980,81,"Bolivia",9,"U.E. Monseñor Daniel Rivero","Santa Ana",TRUE,NA,"Yacuma","Beni","ruralconect","71.226687679700007"
-13.74432,-65.42456,"1003208258100003",2026,3,"Bolivia",10,"U.E. Guillermo Searle","Santa Ana",TRUE,NA,"Yacuma","Beni","ruralconect","71.226687679700007"
-13.735426,-65.42288,"1003208258125861",423,0,"Bolivia",2,"U.E. John Fitzgerald Kennedy","Santa Ana",TRUE,NA,"Yacuma","Beni","ruralconect","71.226687679700007"
-13.747001,-65.428267,"1003208258132021",1309,59,"Bolivia",6,"U.E.Monseñor Carlos Anasagasti Zulueta (Temporal)","Santa Ana",TRUE,NA,"Yacuma","Beni","ruralconect","71.226687679700007"
-13.32101,-65.25107,"1003208258200001",570,17,"Bolivia",3,"Esc. Jose Max Paredes","Exaltación",TRUE,NA,"Yacuma","Beni","desconocido","desconocido"
-12.97027,-65.85875,"1003208258300001",244,4,"Bolivia",2,"Esc. Coquinal","Exaltación",TRUE,NA,"Yacuma","Beni","desconocido","desconocido"
-13.23234,-65.70103,"1003208258400001",86,0,"Bolivia",1,"Esc. San Carlos","Exaltación",TRUE,NA,"Yacuma","Beni","ruralaislado","0.66659778403900005"
-13.11602,-65.11865,"1003208258500001",21,0,"Bolivia",1,"Esc. El Trompillo","Exaltación",TRUE,NA,"Yacuma","Beni","ruralaislado","0.58919271183699995"
-12.91581,-65.4307,"1003208258600001",118,1,"Bolivia",1,"Esc. El Motacusal","Exaltación",TRUE,NA,"Yacuma","Beni","ruralaislado","0.43465466375599998"
-14.33763,-65.8585,"1003208258700001",26,2,"Bolivia",1,"Esc. Los Montes De Oro","Santa Ana",TRUE,NA,"Yacuma","Beni","ruralaislado","0.79672138937000003"
-13.51003,-66.16964,"1003208258900001",7,0,"Bolivia",1,"Esc. Santa Rosa","Exaltación",TRUE,NA,"Yacuma","Beni","desconocido","desconocido"
-14.99516,-65.64448,"1003208259600002",2200,70,"Bolivia",10,"L. Gilfredo Cortez Candia","San Ignacio",TRUE,NA,"Moxos","Beni","ruralconect","51.450567995999897"
-14.99802,-65.64274,"1003208259600003",1760,33,"Bolivia",8,"U.E. Mayor Pedro Vaca Diez","San Ignacio",TRUE,NA,"Moxos","Beni","ruralconect","51.450567995999897"
-14.995212,-65.640291,"1003208259632022",1603,52,"Bolivia",8,"U.E.Fuente de Vida (Temporal)","San Ignacio",TRUE,NA,"Moxos","Beni","ruralconect","51.450567995999897"
-14.994431,-65.639055,"1003208259632023",1826,40,"Bolivia",9,"U.E.Estanislau de Marchena (Temporal)","San Ignacio",TRUE,NA,"Moxos","Beni","ruralconect","51.450567995999897"
-15.4581,-65.64748,"1003208259700001",22,0,"Bolivia",1,"Esc. Central San Ignacito","San Ignacio",TRUE,NA,"Moxos","Beni","ruralaislado","2.7409753667199999"
-14.91402,-65.34778,"1003208259800001",122,3,"Bolivia",1,"Esc. Fatima","San Ignacio",TRUE,NA,"Moxos","Beni","periurbano","3.94460523501"
-14.82843,-65.32679,"1003208260000001",85,2,"Bolivia",1,"Esc. La Argentina","San Ignacio",TRUE,NA,"Moxos","Beni","periurbano","0.63394628578900003"
-14.27502,-65.44534,"1003208260100001",156,14,"Bolivia",1,"Esc. El Desengaño","San Ignacio",TRUE,NA,"Moxos","Beni","desconocido","desconocido"
-15.22264,-65.85181,"1003208260200001",123,1,"Bolivia",1,"Esc. Central Santa Rosa","San Ignacio",TRUE,NA,"Moxos","Beni","ruralconect","4.4668231088699999"
-15.24535,-65.88788,"1003208260300001",61,0,"Bolivia",1,"Esc. Sub-Central Pueblo Nuevo","San Ignacio",TRUE,NA,"Moxos","Beni","ruralconect","3.4230898821400002"
-15.41029,-65.35629,"1003208260400001",303,8,"Bolivia",2,"Esc. San Francisco","San Ignacio",TRUE,NA,"Moxos","Beni","ruralconect","5.8813471422100001"
-15.55553,-65.55151,"1003208260500001",523,9,"Bolivia",3,"Esc. Ovidio Roca C.","San Ignacio",TRUE,NA,"Moxos","Beni","ruralconect","6.3652851133399997"
-15.63879,-65.82966,"1003208260600001",164,3,"Bolivia",1,"Esc. Monte Grande","San Ignacio",TRUE,NA,"Moxos","Beni","ruralaislado","8.3407099517500001"
-15.7724,-65.29938,"1003208260800001",40,0,"Bolivia",1,"Esc. San Jose De Patrocinio","San Ignacio",TRUE,NA,"Moxos","Beni","ruralaislado","0.56255025154299998"
-16.61358,-65.76534,"1003208260900001",215,0,"Bolivia",1,"Escuela Santísima Trinidad","San Ignacio",TRUE,NA,"Moxos","Beni","ruralaislado","0.19206734837"
-15.77166,-65.4773,"1003208261000001",127,1,"Bolivia",1,"Esc. Pto. San Lorenzo","San Ignacio",TRUE,NA,"Moxos","Beni","desconocido","desconocido"
-16.52943,-65.44078,"1003208261100001",105,1,"Bolivia",1,"Esc. San Miguelito Isiboro","San Ignacio",TRUE,NA,"Moxos","Beni","ruralaislado","1.4245418536200001"
-13.045145,-64.667118,"1003208261200002",1822,56,"Bolivia",9,"U.E. Arturo Cuellar Rea","San Joaquín",TRUE,NA,"Mamoré","Beni","desconocido","desconocido"
-13.04053,-64.6656,"1003208261200003",1386,41,"Bolivia",7,"Unidad Educativa 21 de Agosto","San Joaquín",TRUE,NA,"Mamoré","Beni","desconocido","desconocido"
-13.26702,-64.61865,"1003208261600001",2377,78,"Bolivia",11,"U.E. Napoleón Añez Ortiz","San Ramón",TRUE,NA,"Mamoré","Beni","ruralconect","2.1411186960999999"
-13.00931,-64.42094,"1003208261700001",52,0,"Bolivia",1,"Esc. El Poyori","San Ramón",TRUE,NA,"Mamoré","Beni","ruralaislado","0.107766932764"
-12.80045,-65.00496,"1003208261800001",233,9,"Bolivia",1,"Esc. Antofagasta","Puerto Siles",TRUE,NA,"Mamoré","Beni","ruralconect","0.84695951001799996"
-12.29405,-65.11021,"1003208261900001",147,5,"Bolivia",1,"Esc. Santa Rosa","Puerto Siles",TRUE,NA,"Mamoré","Beni","ruralaislado","1.03302009326"
-12.83958,-64.9071,"1003208262000001",37,0,"Bolivia",1,"Esc. Chaco Lejos","San Joaquín",TRUE,NA,"Mamoré","Beni","desconocido","desconocido"
-12.40728,-64.45786,"1003208262100001",88,0,"Bolivia",1,"Esc. Puerto Ustarez","San Joaquín",TRUE,NA,"Mamoré","Beni","ruralaislado","0.24133875608399999"
-12.08011,-65.06511,"1003208262200001",56,0,"Bolivia",1,"Esc. Alejandria","Puerto Siles",TRUE,NA,"Mamoré","Beni","ruralaislado","0.84393827469000005"
-15.19398,-64.76012,"1003208262400001",479,17,"Bolivia",3,"Esc. Perfecta Vda. De Bejarano","Loreto",TRUE,NA,"Marbán","Beni","periurbano","2.7710372253600002"
-15.1992,-64.99944,"1003208262500001",61,4,"Bolivia",1,"Esc. San Antonio","Loreto",TRUE,NA,"Marbán","Beni","ruralaislado","2.1435097052000001"
-15.33278,-64.86686,"1003208262600001",323,17,"Bolivia",2,"Esc. Camiaco","Loreto",TRUE,NA,"Marbán","Beni","ruralaislado","0.77518952579699996"
-15.51444,-65.11512,"1003208263000001",182,8,"Bolivia",1,"Esc. Gundonovia","Loreto",TRUE,NA,"Marbán","Beni","ruralaislado","1.7871265052300001"
-14.98731,-64.75289,"1003208263100001",256,19,"Bolivia",2,"Esc. Sachojere","Loreto",TRUE,NA,"Marbán","Beni","periurbano","2.3629783774500002"
-15.02232,-64.66631,"1003208263300001",283,13,"Bolivia",2,"Esc. Humberto Velarde","San Andrés",TRUE,NA,"Marbán","Beni","periurbano","9.0368997235599906"
-14.97516,-64.63706,"1003208263400001",210,6,"Bolivia",1,"Esc. Peroto","San Andrés",TRUE,NA,"Marbán","Beni","periurbano","3.3240762958099999"
-14.94876,-64.41677,"1003208263500001",109,1,"Bolivia",1,"Esc.Villa Banzer","San Andrés",TRUE,NA,"Marbán","Beni","periurbano","3.0004406133599999"
-15.10586,-64.244,"1003208263600001",599,12,"Bolivia",3,"Esc. Santa Rosa","San Andrés",TRUE,NA,"Marbán","Beni","periurbano","14.991476537"
-15.24271,-63.86697,"1003208263700002",2515,61,"Bolivia",12,"Esc. Central 2 De Agosto","San Andrés",TRUE,NA,"Marbán","Beni","ruralconect","2.8059900941499998"
-15.16342,-64.05082,"1003208263800001",233,6,"Bolivia",1,"Esc. Caimanes","San Andrés",TRUE,NA,"Marbán","Beni","ruralconect","0.87670875913500002"
-15.03478,-64.7207,"1003208264200001",107,9,"Bolivia",1,"Esc. San Lorenzo","San Andrés",TRUE,NA,"Marbán","Beni","periurbano","14.1414226012"
-15.06132,-64.68153,"1003208264300001",175,5,"Bolivia",1,"Esc. Villa Alba","San Andrés",TRUE,NA,"Marbán","Beni","periurbano","13.942014132100001"
-13.26313,-64.05527,"1003208264400001",1544,25,"Bolivia",7,"U.E. Mcal. Jose Ballivian","Magdalena",TRUE,NA,"Iténez","Beni","ruralconect","32.112869405399898"
-13.25954,-64.05195,"1003208264400003",2309,64,"Bolivia",11,"U.E. Gil Coimbra Ojopi","Magdalena",TRUE,NA,"Iténez","Beni","ruralconect","32.112869405399898"
-12.89689,-64.24437,"1003208264500001",142,0,"Bolivia",1,"Esc. Angel Chavez Arza","Magdalena",TRUE,NA,"Iténez","Beni","ruralaislado","1.6678521234699999"
-13.09004,-64.08502,"1003208264600001",92,1,"Bolivia",1,"Esc. La Cayoba","Magdalena",TRUE,NA,"Iténez","Beni","ruralaislado","1.30060373035"
-13.11831,-63.825,"1003208264700001",85,0,"Bolivia",1,"Esc. Santa Maria","Magdalena",TRUE,NA,"Iténez","Beni","desconocido","desconocido"
-12.65748,-63.37995,"1003208264800001",74,1,"Bolivia",1,"Esc. Central 1o. De Mayo","Magdalena",TRUE,NA,"Iténez","Beni","ruralaislado","0.107138070724"
-13.23383,-63.79037,"1003208264900001",287,2,"Bolivia",2,"U.E. Cnel. Carmelo Cuellar J.","Magdalena",TRUE,NA,"Iténez","Beni","desconocido","desconocido"
-13.27234,-63.70535,"1003208265000001",1213,36,"Bolivia",6,"U.E. Macedonio Paz Pino","Magdalena",TRUE,NA,"Iténez","Beni","ruralconect","5.2337769530599996"
-13.65491,-63.69662,"1003208265100001",1403,34,"Bolivia",7,"U.E. Carmelo López","Baures",TRUE,NA,"Iténez","Beni","ruralconect","49.986594890600003"
-13.72575,-63.72225,"1003208265200001",105,2,"Bolivia",1,"U.E. El Cairo","Baures",TRUE,NA,"Iténez","Beni","ruralconect","0.22864591221399999"
-13.52387,-61.8741,"1003208265400001",360,11,"Bolivia",2,"Esc. El Remanzo","Baures",TRUE,NA,"Iténez","Beni","ruralaislado","5.31363630242"
-13.49341,-61.88521,"1003208265600001",304,7,"Bolivia",2,"Esc. Seccional Cafetal","Baures",TRUE,NA,"Iténez","Beni","desconocido","desconocido"
-13.59328,-63.87964,"1003208265700001",1250,27,"Bolivia",6,"U.E. Juan Alberto Orellana","Huacaraje",TRUE,NA,"Iténez","Beni","ruralconect","3.4061711371199999"
