"ID_RECI","NumPaís","NombrePais","Ciudad","CIU","NumProv","nomprov","NumMuni","nombremunicipio","idloc","AsientoElectoral","NumDist","nomdist","NumZona","nomzona","CIRCUNDIST","RECI","REC","Mesa","HAB","INHAB","RECI_GEO_FID","PAIS","NumDep","DEP","PROV","MUN","Distrito","Zona","nomCircun","TipoCircunscripcion","Recinto","N_MESAS","Habilitados","LAT","LON","URB","DEN_C","BOL"
"1101110361125175",11,"Argentina",10,"Buenos Aires",1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",1,"Distrito Buenos Aires",105,"Zona E",0,25175,"Escuela N° 16  de 13 Dr. Tomás A. Le Bretón",1,1066,585,"Exterior: 0033","Argentina",10,"Buenos Aires","Buenos Aires","C.A. Buenos Aires","Distrito Buenos Aires","Zona E",NA,NA,"Escuela N° 16  de 13 Dr. Tomás A. Le Bretón",5,1066,-34.648068,-58.481559,"exterior","exterior",FALSE
"1101110361125189",11,"Argentina",10,"Buenos Aires",1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",1,"Distrito Buenos Aires",104,"Zona D",0,25189,"Escuela de Jornada Completa Nº 16 D.E. 05 Sabina Bove de Bozalla",1,1194,288,"Exterior: 0034","Argentina",10,"Buenos Aires","Buenos Aires","C.A. Buenos Aires","Distrito Buenos Aires","Zona D",NA,NA,"Escuela de Jornada Completa Nº 16 D.E. 05 Sabina Bove de Bozalla",6,1194,-34.652239,-58.407359,"exterior","exterior",FALSE
"1101110361125190",11,"Argentina",10,"Buenos Aires",1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",1,"Distrito Buenos Aires",104,"Zona D",0,25190,"Escuela de Educacion Media N° 4  De 19  Homero Manzi",1,1692,251,"Exterior: 0035","Argentina",10,"Buenos Aires","Buenos Aires","C.A. Buenos Aires","Distrito Buenos Aires","Zona D",NA,NA,"Escuela de Educacion Media N° 4  De 19  Homero Manzi",8,1692,-34.647013,-58.416338,"exterior","exterior",FALSE
"1101110361125191",11,"Argentina",10,"Buenos Aires",1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",1,"Distrito Buenos Aires",105,"Zona E",0,25191,"Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón",1,3222,149,"Exterior: 0036","Argentina",10,"Buenos Aires","Buenos Aires","C.A. Buenos Aires","Distrito Buenos Aires","Zona E",NA,NA,"Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón",15,3222,-34.676525,-58.472273,"exterior","exterior",FALSE
"1101110412925192",11,"Argentina",10,"Buenos Aires",2,"Ituzaingó",1,"Ituzaingó",4129,"Ituzaingó",1,"Distrito Ituzaingó",1,"Ituzaingó",0,25192,"Esc Primaria Nro 3 Jose Manuel Estrada",1,2341,147,"Exterior: 0038","Argentina",10,"Buenos Aires","Ituzaingó","Ituzaingó","Distrito Ituzaingó","Ituzaingó",NA,NA,"Esc Primaria Nro 3 Jose Manuel Estrada",11,2341,-34.65935,-58.66189,"exterior","exterior",FALSE
"1101110413025060",11,"Argentina",10,"Buenos Aires",3,"La Matanza",1,"La Matanza",4130,"Villa Celina",1,"Distrito Villa Celina",1,"Villa Celina",0,25060,"Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137)",1,4164,451,"Exterior: 0040","Argentina",10,"Buenos Aires","La Matanza","La Matanza","Distrito Villa Celina","Villa Celina",NA,NA,"Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137)",19,4164,-34.69844,-58.488926,"exterior","exterior",FALSE
"1101110413025176",11,"Argentina",10,"Buenos Aires",3,"La Matanza",1,"La Matanza",4130,"Villa Celina",1,"Distrito Villa Celina",1,"Villa Celina",0,25176,"Escuela Primaria Nº 97 Juana Manso De Noronha",1,2314,586,NA,"Argentina",10,"Buenos Aires","La Matanza","La Matanza","Distrito Villa Celina","Villa Celina",NA,NA,"Escuela Primaria Nº 97 Juana Manso De Noronha",11,2314,-34.703054,-58.475044,"exterior","exterior",FALSE
"1101110413025177",11,"Argentina",10,"Buenos Aires",3,"La Matanza",1,"La Matanza",4130,"Villa Celina",1,"Distrito Villa Celina",1,"Villa Celina",0,25177,"Escuela de Educación Primaria  Nº 138  Comandante Luis Piedrabuena (Centro de Educación Física CEF 112)",1,6104,204,"Exterior: 0041","Argentina",10,"Buenos Aires","La Matanza","La Matanza","Distrito Villa Celina","Villa Celina",NA,NA,"Escuela de Educación Primaria  Nº 138  Comandante Luis Piedrabuena (Centro de Educación Física CEF 112)",28,6104,-34.7029003,-58.489729,"exterior","exterior",FALSE
"1101110413025178",11,"Argentina",10,"Buenos Aires",3,"La Matanza",1,"La Matanza",4130,"Villa Celina",1,"Distrito Villa Celina",1,"Villa Celina",0,25178,"Escuela Primaria Nº139 Congreso De Tucuman",1,1929,522,"Exterior: 0045","Argentina",10,"Buenos Aires","La Matanza","La Matanza","Distrito Villa Celina","Villa Celina",NA,NA,"Escuela Primaria Nº139 Congreso De Tucuman",9,1929,-34.703987,-58.497176,"exterior","exterior",FALSE
"1101110413125179",11,"Argentina",10,"Buenos Aires",3,"La Matanza",1,"La Matanza",4131,"Isidro Casanova",1,"Distrito Isidro Casanova",1,"Isidro Casanova",0,25179,"Isidro Casanova - Escuela Secundaria Nº76",1,2047,660,"Exterior: 0046","Argentina",10,"Buenos Aires","La Matanza","La Matanza","Distrito Isidro Casanova","Isidro Casanova",NA,NA,"Isidro Casanova - Escuela Secundaria Nº76",10,2047,-34.710694,-58.591852,"exterior","exterior",FALSE
