ID_RECI,X,Y
1003201146400001,-61.63173887302292,-20.692573317924843
1003201146500001,-61.661244359721394,-20.605179012082836
1003201146600001,-61.60782932742106,-20.73084177946862
1003201146800001,-61.560423329896786,-21.394438991784103
1003201147000001,-61.53132191693343,-21.37598467985373
1003201147100001,-61.166787301092846,-21.32471638607892
1003201147400001,-60.49147173829185,-21.367196679961687
1003201147500001,-60.30843577174395,-21.385753139832552
1003201147800001,-60.60531972759147,-21.421208503458352
1003201147900001,-59.97859420679679,-21.3055383252731
1003201148000001,-60.01321004697491,-21.293780582057565
1003201148100001,-60.33193954870454,-21.440708650902256
1003201148200001,-60.64069688211826,-21.321422802124268
1003201148900001,-60.70077321414544,-21.299153368847353
1003201149100001,-60.28070526134099,-21.337967535020745
1003201149300001,-60.59616516083124,-21.40167121426574
1003201275600001,-64.06155871663209,-21.031676348035752
1003201275700001,-64.00852596127356,-18.96634686490142
1003201275800001,-62.2904503521856,-21.018408594612723
1003201275900001,-62.97158861418877,-20.490606171810107
1003201279400101,-64.18918298998166,-20.554179000224988
1003201279400103,-64.01203800003275,-20.545735190179464
1003201279400106,-64.02697260791236,-20.416515089124125
1003201279400108,-63.717025526913474,-20.343374135939456
1003201279400110,-63.68978922158259,-20.888987448968727
1003201279400111,-63.527687983879126,-19.751044748141844
1003201279400113,-64.1065405798625,-20.184140145265246
1003201279400115,-63.97531538841398,-20.67169523819918
1003201279400116,-63.71054424244577,-20.787309184501567
1003201279400117,-63.439140890948124,-20.20381709311291
1003201279400123,-63.93624389582746,-19.83500898174779
1003201279400124,-64.29319758932155,-20.613462095384737
1003201279400202,-64.46745904857852,-20.518965384258447
1003201279400204,-64.36424364674363,-20.49998221839463
1003201279400210,-64.3321126528258,-20.76556597984278
1003201279400211,-64.86663574382214,-20.78323574630172
1003201279400212,-65.13713954541429,-20.12212763099032
1003201279400216,-64.06924070316718,-19.593118286109085
1003201279400217,-63.94310512316987,-19.386057411934438
1003201279400219,-63.69588640177434,-19.30876134278946
1003201279400222,-64.40983152510495,-20.645666292316385
1003201279400227,-64.45104093643863,-19.52799756444871
1003201279400228,-64.70724132576876,-20.182427704301883
1003201279400229,-64.99452632431819,-20.522348283715417
1003201279400230,-64.55496806634224,-19.794150944986168
1003201279400231,-64.31885458993652,-20.2074710654333
1003201279400400,-63.5721224835497,-20.367146995589874
1003201279400401,-63.238681134136804,-20.357590723437642
1003201279400403,-63.50782390468343,-19.547235535800922
1003201279400407,-64.14298592743731,-19.92868258907362
1003201279400408,-65.2798358648982,-19.836959194706722
1003201279400409,-65.18690592608719,-20.02477536551984
1003201279400410,-65.26430397107235,-19.901528753599063
1003201279400502,-63.83330655001026,-19.84158405253078
1003201279400504,-63.23782618387971,-20.14831201209395
1003201279400506,-64.727285336073,-20.31700615423412
1003201279400507,-63.74694222170086,-20.54709499222426
1003201279400508,-63.79726103705589,-20.05130872266677
1003201279400509,-64.43964366964894,-20.363092789146027
1003201279400510,-64.27032526316293,-19.216886351529897
1003201279400511,-63.72581802917253,-19.563964999409862
1003201279400512,-64.04175996991953,-20.205166018089415
1003201279400513,-63.69314928175199,-20.34297893248895
1003201279400514,-63.98124005299089,-20.597380872064107
1003201279400515,-64.5110786802618,-20.562708761817873
1003201279400516,-63.54596959405251,-20.10611953907216
1003201279400517,-64.36445455304317,-20.474725377948612
1003201279400519,-64.79185933435508,-20.408401261874054
1003201279400522,-64.02568524030534,-20.50207011571923
1003201279400523,-64.0551213967245,-20.10979586675879
1003201279400529,-64.37357479214882,-20.122002674480964
1003201279400533,-63.598947003411524,-20.78728182234548
1003201279400534,-64.94157993457057,-19.88900969999499
1003201279400535,-63.190680751956826,-20.373413100603706
1003201279425027,-64.83612723285275,-19.672012747671697
1003201279425029,-64.43329519992675,-20.65435453482419
1003201279425030,-63.30776225173379,-19.619035881589532
1003201279425031,-64.85439311207732,-19.996630894306357
1003201279425032,-65.37087165005123,-20.277232596355347
1003201279425033,-65.23472675098074,-20.595196666531503
1003201279425329,-64.90571173797032,-19.65808601378179
1003201279425476,-63.29122671944195,-19.901401519623285
1003201279425526,-64.57312100937406,-20.549876832577404
1003201279425530,-64.51947473163258,-20.170467853318264
1003201279425531,-64.85590581738253,-19.51125358329856
1003201279425568,-64.84612197830546,-20.633814551588877
1003201279425569,-65.01790737867205,-20.194259480783025
1003201279425570,-63.93986270909452,-19.70984415502836
1003201279425571,-64.76690247453857,-19.547068547537233
1003201279425577,-64.26896759808038,-20.00459712564173
1003201279430001,-63.59445923076258,-20.342534348822447
1003201279430002,-64.0471509765665,-20.691589212135156
1003201279430003,-64.55703270261354,-20.752369261813396
1003201279430004,-64.65092438219358,-20.79541243009622
