"CODIGO_MESA","CANDIDATURA","ID_PAIS","PAIS","ID_DEPARTAMENTO","DEP","CIRCUNSCRIPCION_UNINOMINAL","CIRCUNSCRIPCION_ESPECIAL","ID_PROVINCIA","PROV","SECCION","MUN","ID_LOCALIDAD","LOCALIDAD","ID_RECI","RECINTO","NUMERO_MESA","HAB","CREEMOS","MAS","FPV","PAN_BOL","CC","APG","CPEM_B","CIDOB","BIA_YUQUI","CONAMAQ","OICH","ORCAWETA","YAMINAWA","VV","BL","NU","VOTO_EMITIDO","VOTO_VALIDO_SISTEMA","VOTO_EMITIDO_SISTEMA","NUA","ID_MESA"
"1732","PRESIDENTE","34","Brasil","18","Sao Paulo","0","0","1","Sao Paulo","1","Sao Paulo","3619","Sao Paulo","25200","Escuela Estadual Provincia de Nagasaki","19","125",3,74,1,0,3,"0","0","0","0","0","0","0","0","81","0","3","84","81","84",0,"110341836192520019"
"1746","PRESIDENTE","34","Brasil","18","Sao Paulo","0","0","1","Sao Paulo","1","Sao Paulo","3619","Sao Paulo","25202","Inst. Ciencia Tecnologia  São Paulo","1","220",3,121,6,1,10,"0","0","0","0","0","0","0","0","141","2","7","150","141","150",0,"110341836192520201"
"1751","PRESIDENTE","34","Brasil","18","Sao Paulo","0","0","1","Sao Paulo","1","Sao Paulo","3619","Sao Paulo","25202","Inst. Ciencia Tecnologia  São Paulo","6","220",1,132,2,0,4,"0","0","0","0","0","0","0","0","139","0","7","146","139","146",0,"110341836192520206"
"1835","PRESIDENTE","34","Brasil","18","Sao Paulo","0","0","1","Sao Paulo","1","Sao Paulo","3619","Sao Paulo","26123","Escola Municipal Ensino Fundamental Analia Franco Bastos","9","220",5,134,3,0,8,"0","0","0","0","0","0","0","0","150","1","1","152","150","152",0,"110341836192612309"
"1841","PRESIDENTE","34","Brasil","18","Sao Paulo","0","0","1","Sao Paulo","1","Sao Paulo","3619","Sao Paulo","26123","Escola Municipal Ensino Fundamental Analia Franco Bastos","15","220",8,125,2,0,9,"0","0","0","0","0","0","0","0","144","1","0","145","144","145",0,"110341836192612315"
"1844","PRESIDENTE","34","Brasil","18","Sao Paulo","0","0","1","Sao Paulo","2","Guarulhos","4151","Guarulhos","26121","Escola Prefeitura Guarulhos Prof. Silvia de Cassia Matias","2","220",0,108,2,2,6,"0","0","0","0","0","0","0","0","118","2","5","125","118","125",0,"110341841512612102"
"1846","PRESIDENTE","34","Brasil","18","Sao Paulo","0","0","1","Sao Paulo","2","Guarulhos","4151","Guarulhos","26121","Escola Prefeitura Guarulhos Prof. Silvia de Cassia Matias","4","220",3,105,5,0,9,"0","0","0","0","0","0","0","0","122","1","3","126","122","126",0,"110341841512612104"
"1847","PRESIDENTE","34","Brasil","18","Sao Paulo","0","0","1","Sao Paulo","2","Guarulhos","4151","Guarulhos","26121","Escola Prefeitura Guarulhos Prof. Silvia de Cassia Matias","5","220",2,118,2,0,6,"0","0","0","0","0","0","0","0","128","0","3","131","128","131",0,"110341841512612105"
"1848","PRESIDENTE","34","Brasil","18","Sao Paulo","0","0","1","Sao Paulo","2","Guarulhos","4151","Guarulhos","26121","Escola Prefeitura Guarulhos Prof. Silvia de Cassia Matias","6","220",1,80,3,1,12,"0","0","0","0","0","0","0","0","97","1","5","103","97","103",0,"110341841512612106"
"1849","PRESIDENTE","34","Brasil","18","Sao Paulo","0","0","1","Sao Paulo","2","Guarulhos","4151","Guarulhos","26121","Escola Prefeitura Guarulhos Prof. Silvia de Cassia Matias","7","220",1,115,1,0,6,"0","0","0","0","0","0","0","0","123","1","4","128","123","128",0,"110341841512612107"
"1852","PRESIDENTE","34","Brasil","18","Sao Paulo","0","0","1","Sao Paulo","2","Guarulhos","4151","Guarulhos","26121","Escola Prefeitura Guarulhos Prof. Silvia de Cassia Matias","10","45",1,15,0,0,2,"0","0","0","0","0","0","0","0","18","0","0","18","18","18",0,"110341841512612110"
