"CODIGO_MESA","CANDIDATURA","ID_PAIS","PAIS","ID_DEPARTAMENTO","DEP","CIRCUNSCRIPCION_UNINOMINAL","ID_PROVINCIA","PROV","SECCION","MUN","ID_LOCALIDAD","LOCALIDAD","ID_RECI","RECINTO","NUMERO_MESA","HAB","CREEMOS","MAS","FPV","PAN_BOL","CC","VV","BL","NU","VOTO_EMITIDO","VOTO_VALIDO_SISTEMA","VOTO_EMITIDO_SISTEMA","NUA","ID_MESA"
1198,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",25169,"Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento",8,220,8,119,1,2,9,139,1,9,149,139,149,0,"110111036112516908"
1199,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",25169,"Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento",9,220,5,126,2,2,7,142,0,5,147,142,147,0,"110111036112516909"
1200,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",25169,"Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento",10,220,4,120,2,2,15,143,1,6,150,143,150,0,"110111036112516910"
1201,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",25169,"Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento",11,220,6,126,2,3,12,149,1,1,151,149,151,0,"110111036112516911"
1202,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",25169,"Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento",12,36,0,27,0,0,1,28,0,1,29,28,29,0,"110111036112516912"
1203,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",25172,"Escuela De Jornada Simple Nº 08 D.E. 21 Judith y Demetrio Demarchi",1,220,2,134,0,1,9,146,0,3,149,146,149,0,"110111036112517201"
1219,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",25191,"Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón",1,220,2,123,2,1,18,146,0,10,156,146,156,0,"110111036112519101"
1222,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",25191,"Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón",4,220,6,125,2,1,16,150,0,4,154,150,154,0,"110111036112519104"
1226,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",25191,"Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón",8,220,5,120,1,4,9,139,1,3,143,139,143,0,"110111036112519108"
1228,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",25191,"Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón",10,220,4,120,4,2,30,160,2,2,164,160,164,0,"110111036112519110"
1229,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",25191,"Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón",11,220,4,109,2,5,16,136,1,3,140,136,140,0,"110111036112519111"
1230,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",25191,"Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón",12,220,0,118,2,3,20,143,2,3,148,143,148,0,"110111036112519112"
1231,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",25191,"Escuela De Jornada Simple Nº 03 D.E. 21 Cristóbal Colón",13,220,7,105,2,2,16,132,1,4,137,132,137,0,"110111036112519113"
